DAY,MONTH,YEAR,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_DELAY
1,1,2015,AS,ANC,SEA,5,2354.0,-11.0,205.0,430,-22.0
1,1,2015,AA,LAX,PBI,10,2.0,-8.0,280.0,750,-9.0
1,1,2015,US,SFO,CLT,20,18.0,-2.0,286.0,806,5.0
1,1,2015,AA,LAX,MIA,20,15.0,-5.0,285.0,805,-9.0
1,1,2015,AS,SEA,ANC,25,24.0,-1.0,235.0,320,-21.0
1,1,2015,DL,SFO,MSP,25,20.0,-5.0,217.0,602,8.0
1,1,2015,NK,LAS,MSP,25,19.0,-6.0,181.0,526,-17.0
1,1,2015,US,LAX,CLT,30,44.0,14.0,273.0,803,-10.0
1,1,2015,AA,SFO,DFW,30,19.0,-11.0,195.0,545,-13.0
1,1,2015,DL,LAS,ATL,30,33.0,3.0,221.0,711,-15.0
1,1,2015,DL,DEN,ATL,30,24.0,-6.0,173.0,523,-30.0
1,1,2015,AA,LAS,MIA,35,27.0,-8.0,268.0,803,-10.0
1,1,2015,DL,LAX,MSP,35,35.0,0.0,214.0,609,-4.0
1,1,2015,DL,SLC,ATL,40,34.0,-6.0,215.0,615,-22.0
1,1,2015,DL,SEA,MSP,40,39.0,-1.0,189.0,549,8.0
1,1,2015,AS,ANC,SEA,45,41.0,-4.0,204.0,509,-14.0
1,1,2015,DL,ANC,SEA,45,31.0,-14.0,210.0,515,-24.0
1,1,2015,UA,SFO,IAH,48,42.0,-6.0,218.0,626,-7.0
1,1,2015,AS,ANC,PDX,50,46.0,-4.0,215.0,525,-18.0
1,1,2015,DL,PDX,MSP,50,45.0,-5.0,193.0,603,-12.0
1,1,2015,NK,LAS,MCI,55,120.0,25.0,162.0,537,6.0
1,1,2015,AA,SEA,MIA,100,52.0,-8.0,338.0,938,1.0
1,1,2015,NK,LAS,DFW,103,102.0,-1.0,147.0,530,-1.0
1,1,2015,AA,LAX,MIA,105,103.0,-2.0,286.0,851,-12.0
1,1,2015,DL,LAS,MSP,105,102.0,-3.0,183.0,608,-23.0
1,1,2015,UA,LAX,IAH,115,112.0,-3.0,183.0,618,-11.0
1,1,2015,AS,FAI,SEA,115,107.0,-8.0,213.0,548,-3.0
1,1,2015,NK,MSP,FLL,115,127.0,12.0,207.0,542,25.0
1,1,2015,US,LAS,CLT,120,110.0,-10.0,245.0,825,-31.0
